Activity ID,Source File,Lap,Time,Cumulative Time,Distance (mi),Avg Speed (mph),Avg HR (bpm),Max HR (bpm),Total Ascent (ft),Total Descent (ft),Avg Cadence (rpm),Max Cadence (rpm),Calories,Avg Temp (F),Max Speed (mph),Moving Time,Avg Moving Speed (mph)
22109798266,activity_22109798266.csv,1,23:56,23:56,5.0,12.5,113.0,143.0,79.0,85.0,60.0,125.0,185.0,71.6,20.8,21:31,13.9
22109798266,activity_22109798266.csv,2,17:05,41:01,4.12,14.5,128.0,145.0,95.0,95.0,65.0,104.0,148.0,68.0,21.6,16:39,14.8
22109798266,activity_22109798266.csv,3,0:26.6,41:28,0.0,0.3,116.0,118.0,0.0,0.0,0.0,0.0,3.0,68.0,2.1,0:04,2.1
22176079934,activity_22176079934.csv,1,28:25,28:25,5.0,10.6,107.0,140.0,98.0,95.0,66.0,102.0,200.0,73.4,21.3,19:39,15.3
22176079934,activity_22176079934.csv,2,16:30,44:54,4.12,15.0,123.0,133.0,92.0,95.0,66.0,90.0,125.0,73.4,23.3,16:20,15.1
22301153174,activity_22301153174.csv,1,20:42,20:42,5.0,14.5,127.0,148.0,102.0,98.0,64.0,86.0,207.0,77.0,23.8,18:54,15.9
22301153174,activity_22301153174.csv,2,21:47,42:28,5.0,13.8,136.0,153.0,135.0,138.0,57.0,84.0,212.0,77.0,20.1,20:44,14.5
22301153174,activity_22301153174.csv,3,0:27.5,42:56,0.03,4.4,118.0,121.0,0.0,0.0,16.0,32.0,2.0,75.2,9.5,0:18,6.7
22311683203,activity_22311683203.csv,1,20:29,20:29,5.0,14.6,131.0,152.0,108.0,108.0,64.0,107.0,219.0,78.8,24.4,19:30,15.4
22311683203,activity_22311683203.csv,2,18:01,38:30,4.18,13.9,131.0,147.0,121.0,118.0,59.0,97.0,164.0,78.8,21.9,17:54,14.0
22366655913,activity_22366655913.csv,1,20:24,20:24,5.0,14.7,133.0,148.0,135.0,138.0,60.0,101.0,224.0,78.8,23.5,19:40,15.3
22366655913,activity_22366655913.csv,2,19:05,39:29,4.25,13.4,130.0,143.0,125.0,125.0,62.0,89.0,161.0,78.8,21.0,18:21,13.9
23073973446,activity_23073973446.csv,1,19:42,19:42,5.0,15.2,126.0,146.0,102.0,102.0,67.0,97.0,192.0,82.4,23.4,19:23,15.5
23073973446,activity_23073973446.csv,2,13:03,32:45,3.06,14.1,130.0,150.0,39.0,43.0,65.0,86.0,125.0,82.4,20.5,12:17,14.9
